O_ORDERKEY,O_CUSTKEY,O_ORDERSTATUS,O_TOTALPRICE,O_ORDERDATE,O_ORDERPRIORITY,O_CLERK,O_SHIPPRIORITY,O_COMMENT
2400001,21445,P,80291.26,03-04-1995,3-MEDIUM,Clerk#000000085,0,n deposits. blithely even accounts
2400002,104548,F,119166.38,25-08-1994,2-HIGH,Clerk#000000698,0,lar dependencies grow quickly beside the furiously even packages. fu
2400003,8512,O,271227.3,09-07-1996,1-URGENT,Clerk#000000557,0,en pearls are slyly after 
2400004,85286,O,150853.32,30-09-1996,1-URGENT,Clerk#000000938,0,"lar excuses. even, regular "
2400005,147364,F,96488.6,03-05-1994,2-HIGH,Clerk#000000844,0,o beans. quickly even courts promise furiously enticing waters-- furious
2400006,95339,O,275113.4,14-11-1995,1-URGENT,Clerk#000000017,0,instructions. slyly ironic deposits nag among the b
2400007,46249,F,182347.68,10-07-1993,4-NOT SPECIFIED,Clerk#000000453,0,aintain quickly furiously special theodolite
2400032,130357,F,49629.16,16-08-1994,5-LOW,Clerk#000000527,0,lyly final ideas. quickly final pinto beans are
2400033,138706,F,252678.56,01-02-1995,1-URGENT,Clerk#000000729,0,"the silent, regular requests are slyly regular deposits. blithely ironic d"
2400034,79036,F,191980.36,09-11-1994,1-URGENT,Clerk#000000586,0,lites. pinto beans haggle qui
2400035,90086,F,264244.97,09-04-1993,4-NOT SPECIFIED,Clerk#000000118,0,rding to the carefully special pac
2400036,118624,F,240961.82,31-05-1993,5-LOW,Clerk#000000640,0,yly. quickly even packages use. final ideas wake 
2400037,33697,O,89864.37,25-06-1997,2-HIGH,Clerk#000000296,0,thely blithe deposits. furiou
2400038,65305,F,77179.19,14-12-1992,2-HIGH,Clerk#000000673,0," detect slyly around the even, final "
2400039,8068,O,9561.67,28-02-1996,4-NOT SPECIFIED,Clerk#000000766,0,ounts? furiously regular
2400064,145765,O,55898.16,14-02-1996,5-LOW,Clerk#000000712,0,ng the slyly final realms. fluffily even deposits eat furiously slyly s
2400065,70822,O,167194.45,30-12-1996,1-URGENT,Clerk#000000012,0,t evenly among the slyly express deposits. furiously regul
2400066,25273,F,252423.29,07-05-1993,4-NOT SPECIFIED,Clerk#000000882,0,ckly. fluffily bold accounts
